Sat. Sep.  5, 2020             LANDSAT 7                 Time: 15:57
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 168 / 018

L0R Reference Image: L71SG11114266080100_HDF.201742232
Acquisition Date: Sep 23, 2014

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
166   018   07-03-2001, 05-17-2016
166   019   07-06-2002, 08-21-2016
167   019   10-09-1999, 05-08-2016
168   017   05-11-2000, 05-15-2016
168   018   05-11-2000, 05-15-2016
168   019   05-11-2000, 05-15-2016
169   017   05-05-2001, 05-30-2013
169   018   09-10-2001, 05-06-2016
170   017   09-17-2001, 05-11-2015


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1670190453_01   59.439976   56.859457   172.891       3.753     1.711     3.083     2.759
1670190458_01   59.334453   57.005980   248.056       0.132    -1.546     0.609    -1.429
1670190460_01   59.344129   57.278134   133.986      -2.755     4.329    -3.898     3.309
1670190461_01   59.517632   57.033590   225.825       1.738    -2.798     2.513    -2.142
1670190467_01   59.262712   56.604457   161.236      -2.658     5.575    -4.188     4.523
1670190481_01   59.484106   56.588654   113.959      -6.051    -5.409    -4.139    -6.966
1670190483_01   59.306379   56.718802   110.533      -0.542    -2.449     0.232    -2.493
1670190501_01   59.368466   56.655476   103.370      -6.947     4.256    -7.883     1.981
1670190508_01   59.456809   56.767314   114.140      -6.477     0.997    -6.459    -0.985
1670190519_01   59.472565   56.705783   111.333       1.104     1.425     0.641     1.693
1670190531_01   59.080107   57.079710   149.224      -5.196     5.972    -6.718     4.142
1670190533_01   59.626515   56.015651   163.378      -2.094     2.241    -2.663     1.510
1670190535_01   59.376057   56.800080   127.883       0.168    -0.316     0.271    -0.246
1670190549_01   59.379791   56.498030   108.586       1.593     1.093     1.204     1.523
1670190551_01   59.378642   56.975361   130.191      -6.377     2.979    -6.952     0.935
1670190555_01   59.162208   57.165911   141.633      -4.280     4.298    -5.343     2.822
1670190556_01   59.369214   56.744677   122.351      -1.529    -1.115    -1.108    -1.517
1670190559_01   59.540180   56.856937   176.784       4.747    -5.756     6.263    -4.062
1670190561_01   59.269211   56.248059   111.160      -4.776    -1.490    -4.098    -2.850
1670190564_01   59.109329   57.224919   133.597      -0.342     1.379    -0.713     1.219
1670190565_01   59.521293   56.820934   172.469      -1.906    -3.479    -0.761    -3.883
1670190567_01   59.350581   56.618735   118.862       2.229    -6.473     4.077    -5.501
1670190577_01   59.571851   56.649752   129.679      -3.571    -1.782    -2.859    -2.765
1670190586_01   59.187349   56.735576   113.281      -3.604    -0.913    -3.145    -1.946
1670190599_01   59.681201   55.734865   165.075       0.583     2.170    -0.094     2.243
1670190601_01   59.475151   56.779896   139.712      -3.801    -3.666    -2.511    -4.630
1670190609_01   59.435690   56.343250   114.432      -6.054     2.835    -6.611     0.893
1670190620_01   59.758377   55.691912   159.701      -1.250     1.146    -1.537     0.718
1670190629_01   59.490797   55.741419   174.186       1.444    -0.134     1.418     0.304
1670190631_01   59.404415   56.865963   148.513       4.667     0.083     4.442     1.481
1670190638_01   59.648102   56.022479   155.404       2.387     1.190     1.924     1.849
1670190665_01   59.383649   56.841764   118.669      -4.994     0.977    -5.037    -0.560
1670190680_01   59.274230   57.193364   131.255       0.443    -1.234     0.815    -1.037
1670190685_01   59.573996   55.821714   167.418      -0.371    -0.872    -0.091    -0.943
1670190700_01   59.308642   56.764635   135.009      -0.573     5.025    -2.034     4.623
1670190708_01   59.458892   57.051002   177.821      -1.242     0.610    -1.347     0.215
1670190715_01   59.222779   56.673752   110.970       3.300     0.407     3.041     1.381
1670190718_01   59.418428   57.116993   170.595      -0.259     1.798    -0.764     1.642
1670190724_01   59.425657   55.424999   177.104      -4.338     3.183    -5.092     1.734
1670190729_01   59.315728   56.822584   139.463       3.611    -1.427     3.887    -0.274
1670190734_01   59.224482   56.712642   133.824       0.880     1.686     0.352     1.875
1670190741_01   59.661331   56.225484   142.524      -1.131    -3.332    -0.075    -3.514
1670190751_01   59.520803   56.609952   110.398      -1.390     0.587    -1.489     0.147
1670190762_01   59.408153   57.316697   131.592      -2.002     5.953    -3.666     5.084
1670190766_01   59.644204   55.840533   182.703       0.696     1.869     0.106     1.990
1670190767_01   59.317424   57.118752   193.922       2.068    -1.097     2.322    -0.420
1670190769_01   59.553456   55.702472   183.106       1.076    -2.268     1.705    -1.841
1670190781_01   59.459240   57.355828   131.243      -2.107     2.231    -2.653     1.503
1670190785_01   59.390450   57.472391   276.136       0.268    -0.571     0.452    -0.457
1670190790_01   59.479191   57.441333   145.144      -2.694    -2.908    -1.675    -3.572
1680170013_01   60.692881   56.722092   141.801       2.844    -0.759     2.943     0.125
1680170041_01   60.492615   57.937203   235.039      -4.714     3.910    -5.639     2.328
1680170054_01   60.676477   57.351643   179.505      -2.159    -3.921    -0.879    -4.381
1680170066_01   60.828828   55.979415   157.732       0.796     0.269     0.671     0.491
1680170067_01   60.698362   56.769321   212.296       3.985    -2.250     4.476    -0.956
1680170084_01   60.684576   56.635931   137.641      -0.618     6.856    -2.632     6.356
1680170101_01   60.715083   57.430482   337.068       2.105    -1.079     2.341    -0.398
1680170107_01   60.608463   57.154607   212.000       1.101    -0.748     1.283    -0.383
1680170116_01   60.782302   56.618349   135.143      -2.025     2.114    -2.561     1.413
1680170127_01   60.806916   56.775124   250.399       5.636    -2.618     6.159    -0.816
1680170134_01   60.600701   57.300829   160.673       2.111     0.289     1.939     0.909
1680170146_01   60.505733   57.735894   339.790      -0.820    -1.499    -0.316    -1.668
1680170147_01   60.763995   56.616304   133.395      -3.948     5.862    -5.513     4.415
1680170157_01   60.843788   56.153935   155.935       0.166    -6.317     2.037    -5.979
1680170160_01   60.656557   56.730725   156.328       0.965    -6.326     2.811    -5.745
1680170165_01   60.640223   57.782210   202.905      -1.489    -2.316    -0.712    -2.648
1680170169_01   60.927042   55.605442   139.080      -5.424    -0.130    -5.149    -1.745
1680170175_01   60.745345   57.300507   320.554       1.312    -4.365     2.562    -3.769
1680170188_01   60.787312   56.812241   239.233      -1.936    -4.153    -0.605    -4.537
1680170204_01   60.581153   57.440305   249.529       3.276    -6.499     5.075    -5.216
1680170207_01   60.725786   56.724570   149.970      -0.544     0.705    -0.726     0.511
1680170213_01   60.764395   56.793141   241.079      -1.959    -1.403    -1.446    -1.921
1680170221_01   60.800942   56.071792   170.863      -1.066     4.888    -2.481     4.342
1680170227_01   60.564732   57.844357   196.352      -6.604    -2.387    -5.568    -4.242
1680170228_01   60.718597   56.425508   210.269      -3.298    -2.140    -2.508    -3.025
1680170233_01   60.722234   56.864376   202.326      -6.204    -0.250    -5.838    -2.088
1680170234_01   60.738706   56.541810   131.091      -1.385     6.929    -3.387     6.197
1680170235_01   60.627116   57.617986   223.828      -3.056     3.715    -4.006     2.636
1680170247_01   60.843186   56.104267   162.027      -0.009     4.117    -1.242     3.923
1680170260_01   60.774192   56.141447   195.937      -2.278    -1.565    -1.711    -2.174
1680170263_01   60.577282   57.545188   282.886      -1.869     2.570    -2.533     1.898
1680170273_01   60.754506   56.686324   160.553      -1.192     2.876    -1.992     2.388
1680170280_01   60.825664   56.144373   191.766       2.427    -0.023     2.317     0.699
1680170291_01   60.739870   56.777805   225.610      -2.079    -1.242    -1.608    -1.804
1680170315_01   60.801989   56.190233   174.022      -6.830     1.689    -7.023    -0.427
1680170320_01   60.780444   56.737848   222.516       3.835    -0.720     3.875     0.457
1680170323_01   60.825242   56.767875   133.523      -5.349     3.471    -6.134     1.717
1680170326_01   60.719163   56.798893   235.054       2.537    -2.526     3.177    -1.652
1680170332_01   60.679973   56.985249   184.787      -1.377     4.171    -2.550     3.569
1680170338_01   60.745410   57.054604   334.064      -3.717    -2.662    -2.744    -3.644
1680170349_01   60.899595   56.302255   201.490      -1.061     2.599    -1.790     2.161
1680170350_01   60.835040   56.587358   184.517      -5.533    -0.748    -5.054    -2.363
1680170357_01   60.814788   56.825270   218.721       1.495     0.092     1.402     0.534
1680170362_01   60.622362   57.796620   177.972       5.383     0.898     4.885     2.468
1680170363_01   60.712504   56.606406   136.858       0.543     5.806    -1.212     5.700
1680170376_01   60.807956   55.965195   135.571       1.258     1.288     0.808     1.600
1680170379_01   60.895731   56.035323   197.674      -2.326     4.426    -3.546     3.526
1680170380_01   60.582167   57.261779   196.399       1.208    -2.084     1.785    -1.624
1680170388_01   60.750017   56.945052   194.221      -2.070     0.741    -2.189     0.091
1680170395_01   60.636560   57.664176   221.667      -0.107    -3.216     0.873    -3.094
1680170398_01   60.761088   56.409929   168.288      -6.088     3.261    -6.781     1.295
1680170414_01   60.718046   56.370534   227.311      -1.539    -0.347    -1.366    -0.791
1680170429_01   60.822117   56.016625   128.052       3.266     1.406     2.689     2.312
1680170463_01   60.720546   56.695478   131.515       2.579     2.214     1.802     2.882
1680170478_01   60.772963   56.650940   126.767       1.428     1.090     1.039     1.466
1680170497_01   60.552906   57.693737   134.990      -4.212     3.962    -5.181     2.527
1680170511_01   60.926731   55.606012   139.070      -2.428    -0.884    -2.067    -1.571
1680170516_01   60.819157   55.985798   129.867       2.542     2.821     1.576     3.446
1680170524_01   60.501666   57.595388   133.992      -0.920     5.376    -2.464     4.858
1680170532_01   60.692091   56.734776   143.245       3.104     0.441     2.833     1.347
1680170543_01   60.653266   56.721370   184.273       1.213    -2.900     2.025    -2.404
1680170553_01   60.672154   56.627319   126.194      -2.264     2.550    -2.918     1.758
1680170559_01   60.983094   55.777662   157.185       0.816    -0.237     0.837     0.013
1680170561_01   60.608229   57.155172   191.994      -3.563     2.663    -4.183     1.480
1680170572_01   60.676804   57.352102   185.820      -3.090     0.690    -3.141    -0.260
1680170582_01   60.822023   56.798213   132.484      -2.234     0.980    -2.420     0.269
1680170585_01   60.701157   56.594016   125.208      -5.498     4.676    -6.637     2.820
1680170590_01   60.823307   56.760712   125.108      -0.681     5.717    -2.351     5.251
1680170596_01   60.729877   56.565073   134.097      -4.167     5.152    -5.511     3.672
1680170600_01   60.560340   57.809336   146.215      -4.005    -0.751    -3.577    -1.906
1680170616_01   60.514098   57.243810   145.099      -3.610    -2.575    -2.663    -3.530
1680170618_01   60.599460   56.748134   120.492       3.321     2.036     2.565     2.934
1680170619_01   60.497663   57.523241   118.193      -5.571     6.697    -7.295     4.729
1680170624_01   60.799729   56.847447   230.405       1.251    -0.389     1.313     0.003
1680170632_01   60.494883   57.895080   185.008       3.742     1.514     3.138     2.567
1680170637_01   60.657918   56.551208   126.073      -3.080     2.776    -3.765     1.729
